Male respondents,N,Mean,Median,Modus,Quantile 5%,Quantile 95 %,Variance,Std. Deviation,Variation coefficient,Skewness,Kurtosis
1.Body Weight (kg),6123,81.8823,80.0000,"80,00000",62.5000,106.0000,193.7193,13.91831,16.99795,0.87660,2.428
2.Stature height (cm),6132,179.8906,180.0000,"180,0000",168.0000,192.0000,63.0458,7.94014,4.41387,-2.25415,38.639
3.The height of the root of the nose in standing (cm),2852,169.3495,170.0000,"170,0000",158.0000,181.0000,97.8034,9.88956,5.83973,-6.60596,96.456
4.Height of shoulders in standing position (cm),2860,152.1602,152.0000,"150,0000",141.0000,164.0000,52.4435,7.24179,4.75932,0.11761,1.145
5.Height of the elbow in standing position (cm),2850,115.6338,115.0000,"110,0000",105.0000,126.0000,401.4937,20.03731,17.32825,42.81447,2122.010
6.The height of the tip of the 3rd finger in standing position (cm),2843,70.9858,70.0000,"70,00000",62.0000,81.0000,47.6504,6.90292,9.72437,0.69017,12.737
7.Arm's reach in standing position (cm),5357,224.4513,226.0000,"225,0000",206.0000,245.0000,448.8382,21.18580,9.43893,-4.51666,29.685
8.The width of the shoulders (cm),5434,48.7416,48.0000,"50,00000",41.0000,58.0000,59.0923,7.68715,15.77122,18.84537,817.865
9.Lateral chest diameter (cm),2779,36.1664,35.0000,"35,00000",25.0000,46.0000,82.4717,9.08139,25.11006,5.75013,82.957
10.Arm's reach in standing position (cm),2729,85.4625,86.0000,"90,00000",74.0000,95.0000,51.6351,7.18576,8.40808,0.17638,6.693
11.Arms spread in standing position (cm),2855,180.8725,181.0000,"180,0000",167.0000,195.5000,138.4494,11.76645,6.50538,-4.26446,48.757
12.Body height in sitting position (cm),5435,97.7166,94.0000,"94,00000",83.0000,138.0000,240.1301,15.49613,15.85823,1.84960,3.089
13.Height of the root of the nose in a sitting position (cm),2837,85.0917,83.0000,"83,00000",72.0000,123.0000,178.4939,13.36016,15.70089,2.37222,7.979
14.Elbow height in sitting position (cm),2788,29.2997,26.0000,"25,00000",19.0000,65.0000,151.3030,12.30053,41.98173,2.66924,6.908
15.Height of the upper arm when flexed at the elbow (cm),2801,38.5217,38.0000,Vícenás.,33.0000,44.0000,45.8317,6.76991,17.57426,4.49547,32.762
16.Knee height in sitting position (cm),2854,56.7098,57.0000,"56,00000",50.0000,63.0000,24.0658,4.90569,8.65051,-0.17299,14.735
17.Arm's reach in sitting position (cm),2821,139.6028,139.0000,"140,0000",124.0000,170.0000,239.4673,15.47473,11.08483,-0.50777,12.033
18.The length of the forearm and hand at the elbow bend  (cm),2776,47.8383,48.0000,"48,00000",40.0000,54.0000,36.0970,6.00808,12.55914,0.34255,13.558
19.Thigh length in sitting position at knee bend (cm),2835,58.6471,60.0000,"60,00000",47.0000,66.0000,39.3952,6.27656,10.70225,-0.27589,6.204
20.Leg length when sitting forward (cm),4197,107.4688,108.0000,"110,0000",94.0000,121.0000,81.9590,9.05312,8.42395,-1.17013,10.285
21.Arm's reach in sitting position (cm),3993,91.7353,89.0000,"90,00000",75.0000,114.0000,154.7860,12.44130,13.56218,0.43095,-0.202
22.Palm width (cm),2832,11.1502,11.0000,"11,00000",9.0000,13.0000,3.4113,1.84697,16.56438,5.79198,78.118
23.Palm length (cm),2783,19.7213,19.0000,"20,00000",17.0000,22.0000,25.4366,5.04347,25.57373,10.19824,118.906
24.Foot width (cm),2837,10.5909,10.0000,"10,00000",9.0000,12.5000,5.2208,2.28490,21.57413,25.58133,1030.796
25.Foot lenght (cm),2842,27.1770,27.0000,"27,00000",24.0000,31.0000,5.3945,2.32261,8.54621,1.08420,8.799
