Dimension,Man5,Man50,Man95,Woman5,Woman50,Woman95
(59)ShoulderHeight,557.9,609.5,661.1,523.0,572.7,622.4
(61)Mid-ShoulderHeight,585.7,634.7,683.8,533.3,580.2,627.1
(83)SacralHeight,136.3,161.6,187.0,133.8,158.9,184.1 
(112)ShoulderToElbow,346.6,376.7,406.7,312.5,341.5,370.6
(124)ElbowToTipOfMiddleFinger,442.0,477.0,512.1,396.3,431.1,465.9
(125)ElbowToGrip,332.7,365.5,398.4,291.4,325.5,359.7
(215)ButtockToKnee,552.2,612.6,673.0,521.4,588.9,656.4
(230)TopOfKneeHeight,497.8,544.4,591.1,450.3,493.9,537.4
(232)KneeCreaseToAnkle,377.1,417.2,457.3,336.8,373.5,410.1
(242)FootLength,245.3,266.8,288.2,220.2,241.1,262.1
(254)RearHeelToOuterAnkle, 47.3, 55.5, 63.7, 42.6, 50.3, 58.0
